PostId,PostText,PublishedDate
312649-348034,"I m still waiting for some1 2 call me, as I been to cornubia branch over 5 times & they are always offline.",04 05 2022
312649-348065,I want a sim contract for R59,04 05 2022
312649-348093,I want a sim contract,04 05 2022
312649-348129,Bonita Mothei Mosesane,04 05 2022
312649-348130,Lesego Mothibatsela,04 05 2022
312649-348146,Network coverage is bad really bad,04 05 2022
312649-348201,"I'm on off peak 250MB 7mbs the 50MB 4mps and mbps until month end R230 ,12midnight to 7pm ,",04 05 2022
312649-348520,This deal very sweet,04 05 2022
312649-348900,I need 2 sim cards,03 05 2022
312649-349562,Dunisani Hlungwani-Skhalele,03 05 2022
312649-351017,Empress Rorisang Tshepi apply,02 05 2022
312649-351378,good deal but we will never get to use the 120Gbs your net is so bad that we cannot keep a stable connection. Now we checked and made sure our area was covered and we are indeed covered but it might as well not be because it is that slow. 😶,02 05 2022
312649-352143,But you network sucks though waste of money 😣😩,01 05 2022
312649-352728,Pamela Pillay,30 04 2022
312649-352739,Ahhh rather buy unlimited data 300g🤣🤣🤣,30 04 2022
312649-352824,R250 data per month,30 04 2022
312649-353195,Is it standard or off peak hours only?,30 04 2022
312649-354666,How can I cancel my contract?😑,29 04 2022
312649-355232,Is a binding contract or it open? Meaning can I cancel it anytime?,29 04 2022
312649-355690,Can you contact me on this number...0740547156....I also want this deal,28 04 2022
312649-357402,Can i upgrade to this deal?,28 04 2022
312649-360272,only if you had good network,26 04 2022
312649-360320,Shaun Lusenga nazo,26 04 2022
312649-360401,Everton Mncube bheka la,26 04 2022
312649-366867,We all are asking Questions but No reply this is real shit nobody reply,25 04 2022
312649-367127,Contract or prepaid?,24 04 2022
312649-367497,Since I HV been applying for SIM card until today no respond,24 04 2022
312649-367521,Blossom Bliss,24 04 2022
312649-367847,"I don't trust Telkom,they deals are cheap but the service is poor, I've been without internet data service for 3 days already!!! They said they'd bring in a technician to help check the problem but I still will have this issue again because it's not the first of it's kind. You can't even cancel the service online or on the phone, you have to go their store for that.",23 04 2022
312649-367871,Neo Motlhanke,23 04 2022
312649-371906,Contract or prepaid,21 04 2022
